_id;event;venue;machine;vendType;productName;transactionDate;quantity;quantitySet;totalStamps;currency;value;paymentStatus;sesionId;etiquetasRollo1;etiquetasRollo2;etiquetaMes;titutoEvento;feria;Lugar;fecha;mes;annio;documento
W5B3kKBhaWks4nc48;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:24;1;1;1;EUR;1.40;FERIA;35;0;342;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
uhHm9YNtcXSnxxowi;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:25;1;1;1;EUR;1.40;FERIA;36;0;341;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
uDD7o4QXYZ3GoR8mT;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:27;1;1;1;EUR;1.40;FERIA;37;0;340;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
NePKH49gFkx56H3RH;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:30;1;1;1;EUR;1.40;FERIA;38;0;339;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
GuJmvkGc6QWsZ2AWP;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:32;1;1;1;EUR;1.40;FERIA;39;0;338;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
vxqbaznkdP5zExFYX;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:35;1;1;1;EUR;1.40;FERIA;40;0;337;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
Mm3X7K5jFgRPeinxr;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:37;1;1;1;EUR;1.40;FERIA;41;0;336;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
X7rLGgXjHgf2yhb8A;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:46:57;1;1;1;EUR;1.50;FERIA;42;0;335;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
w8WW2S8MYdhsf5WTz;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:46:59;1;1;1;EUR;1.50;FERIA;43;0;334;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
7JgSkLzma3q62cofM;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:47:01;1;1;1;EUR;1.50;FERIA;44;0;333;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
Cym7obTLzMSXMBgLJ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:47:04;1;1;1;EUR;1.50;FERIA;45;0;332;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
LxysE6BFk7SNeacvJ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:47:06;1;1;1;EUR;1.50;FERIA;46;0;331;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
hzYqyutK2Kw3k3J2t;7-9 noviembre;París;PA19;Tira de 4 Tarifas;Notre Dame;07/11/2019 12:48:42;5;4;20;EUR;4.20;FERIA;47;0;330;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
hcnnRTP29jC5XqxhL;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:51:59;1;1;1;EUR;0.60;FERIA;48;0;310;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
QRaDbE3FDZy6qYjao;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:52:02;1;1;1;EUR;0.60;FERIA;49;0;309;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
rFtWDxuPgcaPynDTG;7-9 noviembre;París;PA19;Tira de 4 Tarifas;Notre Dame;07/11/2019 12:52:28;2;4;8;EUR;4.20;FERIA;50;0;308;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
zTkc3mKSZBNAWPXtP;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:53:18;6;1;6;EUR;0.60;FERIA;51;0;300;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
ujHanMnppxDYNgKMh;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:53:45;10;1;10;EUR;0.60;FERIA;52;0;294;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
fu6o49E5v4k3Xd5kE;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:55:13;1;1;1;EUR;0.60;FERIA;53;0;284;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
oi3cQoy8ubMEt843v;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:55:34;1;1;1;EUR;0.60;FERIA;54;0;283;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
TzCvGr3sxj2Krjnwp;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:55:38;1;1;1;EUR;0.60;FERIA;55;0;282;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
XQybvL3WSWcfKqgFz;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:55:40;1;1;1;EUR;0.60;FERIA;56;0;281;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
XgZJDF43ikYX9SoDE;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:55:42;1;1;1;EUR;0.60;FERIA;57;0;280;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
ezHvwisEHzgM2QoQQ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:56:39;1;1;1;EUR;0.70;FERIA;58;0;279;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
3PmCdmmMRC5hsBQdc;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:56:40;1;1;1;EUR;0.70;FERIA;59;0;278;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
